sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
2.0,2.5,10,mle,scipy,alpha,0.14669575924970496,0.12226948579494457,0.27340288181144096,0.09666251586240704,0.081318954408088,0.021316133273362518
2.0,2.5,10,mle,scipy,beta,0.2913982002995003,0.2736687732988875,0.6119419804152918,0.21635416202218913,0.38449130105345924,0.23444998668793807
2.0,2.5,50,mrr,beta,alpha,0.040533868681409756,0.049216466949443566,0.11005136571132752,0.038909033486660194,0.011332036986224456,0.004856350576529016
2.0,2.5,50,mrr,beta,beta,0.24217045504818185,0.18055534332163936,0.4037340213679983,0.14274153215251303,0.1890474573062237,0.11396568606249778
2.0,2.5,50,mrr,bernard,alpha,0.04092304811926697,0.049203664019280564,0.11002273748917187,0.0388989118816504,0.01135869807906082,0.004887243089189307
2.0,2.5,50,mrr,bernard,beta,0.2357661087119732,0.18015619817746958,0.4028415056927457,0.1424259802093698,0.18541068098422472,0.11158309494987477
2.0,2.5,50,mle,scipy,alpha,0.03127528678251901,0.053631960232412325,0.11992470884623938,0.0423997874284991,0.012483692196813037,0.004625819764296805
2.0,2.5,50,mle,scipy,beta,0.285769958076448,0.150119466964071,0.3356773328776967,0.11867985918421667,0.17180788638532207,0.0801918976869921
2.0,2.5,100,mrr,beta,alpha,-0.08351148926662363,0.04388629514028748,0.09813273921430149,0.03469516267742181,0.014678196444091083,0.0066534108528440335
2.0,2.5,100,mrr,beta,beta,0.01800403814184044,0.12424859700447405,0.2778283090109807,0.09822714065362802,0.062075000819733626,0.02057495472274707
2.0,2.5,100,mrr,bernard,alpha,-0.08321156688183988,0.04389624194690598,0.09815498095005948,0.03470302631851172,0.014631685091176147,0.006636480067174392
2.0,2.5,100,mrr,bernard,beta,0.013799737247094424,0.12407111840238301,0.27743145479215353,0.09808683149899042,0.06176500243456142,0.020075935484504162
2.0,2.5,100,mle,scipy,alpha,-0.08833060015305753,0.04317611909582866,0.09654473730289966,0.03413371921737709,0.01525900396410805,0.006692030126343142
2.0,2.5,100,mle,scipy,beta,0.048220210908574666,0.10665045292754134,0.23847766257712388,0.08431458618490081,0.04782246517866627,0.01755776376252686
