Estat 715: (4,3); t=26.9474
Estat 716: (4,3); t=26.9474
Estat 717: (3,2); t=26.9474
Estat 718: (2,1); t=26.9474
Estat 719: (1,0); t=26.9810
Estat 720: (2,0); t=27.1262
Estat 721: (3,0); t=27.2953
Estat 722: (3,3); t=27.2953
Estat 723: (2,2); t=27.2953
Estat 724: (1,1); t=27.2953
Estat 725: (0,0); t=27.2963
Estat 726: (1,0); t=27.3802
Estat 727: (1,3); t=27.3802
Estat 728: (0,2); t=27.3857
Estat 729: (1,2); t=27.5159
Estat 730: (2,2); t=27.6595
Estat 731: (3,2); t=27.8118
Estat 732: (4,2); t=27.8535
Estat 733: (5,2); t=27.8724
Estat 734: (5,3); t=27.8724
Estat 735: (4,2); t=27.8724
Estat 736: (3,1); t=27.8724
Estat 737: (2,0); t=27.9839
Estat 738: (2,3); t=27.9839
Estat 739: (1,2); t=27.9839
Estat 740: (0,1); t=28.0358
Estat 741: (0,3); t=28.1380
Estat 742: (1,3); t=28.1817
Estat 743: (1,3); t=28.1817
Estat 744: (0,2); t=28.2314
Estat 745: (0,3); t=28.2471
Estat 746: (1,3); t=28.2606
Estat 747: (2,3); t=28.3218
Estat 748: (3,3); t=28.3741
Estat 749: (3,3); t=28.3741
Estat 750: (2,2); t=28.3741
Estat 751: (1,1); t=28.3741
Estat 752: (0,0); t=28.4857
Estat 753: (0,3); t=28.6341
Estat 754: (1,3); t=28.6392
Estat 755: (2,3); t=28.7514
Estat 756: (2,3); t=28.7514
Estat 757: (1,2); t=28.7514
Estat 758: (0,1); t=28.8789
Estat 759: (1,1); t=28.9790
Estat 760: (1,3); t=28.9790
Estat 761: (0,2); t=29.1157
Estat 762: (1,2); t=29.1168
Estat 763: (1,3); t=29.1168
Estat 764: (0,2); t=29.1556
Estat 765: (1,2); t=29.3042
Estat 766: (1,3); t=29.3042
Estat 767: (0,2); t=29.3977
Estat 768: (0,3); t=29.4075
Estat 769: (1,3); t=29.4265
Estat 770: (1,3); t=29.4265
Estat 771: (0,2); t=29.5381
Estat 772: (0,3); t=29.5692
Estat 773: (1,3); t=29.5815
Estat 774: (1,3); t=29.5815
Estat 775: (0,2); t=29.7127
Estat 776: (1,2); t=29.7145
